Timestamp,Model,Process,Metric,Score
2025-09-16 09:46:14,Model 9,Validation,MSE,0.0133
2025-09-16 09:46:14,Model 9,Validation,MAE,0.0892
2025-09-16 09:46:14,Model 9,Validation,MAPE,0.1849
2025-09-16 09:46:14,Model 9,Validation,R2,-0.1679
2025-09-16 09:46:14,Model 9,Validation,EVS,-0.1642
2025-09-16 09:46:14,Model 9,Test,MSE,0.0163
2025-09-16 09:46:14,Model 9,Test,MAE,0.1017
2025-09-16 09:46:14,Model 9,Test,MAPE,0.2426
2025-09-16 09:46:14,Model 9,Test,R2,-0.2569
2025-09-16 09:46:14,Model 9,Test,EVS,-0.1312
2025-09-16 09:46:14,Model 9,encrypted-fhe,MSE,0.0134
2025-09-16 09:46:14,Model 9,encrypted-fhe,MAE,0.0957
2025-09-16 09:46:14,Model 9,encrypted-fhe,MAPE,0.2447
2025-09-16 09:46:14,Model 9,encrypted-fhe,R2,-0.8993
2025-09-16 09:46:14,Model 9,encrypted-fhe,EVS,-0.3891
2025-09-16 09:46:14,Model 9,Validation,Time,12.2829
2025-09-16 09:46:14,Model 9,Test,Time,0.0007
2025-09-16 09:46:14,Model 9,encrypted-fhe,Time,54.1413
2025-09-16 09:46:14,Model 9,encrypted-fhe,EncryptionScheme,CKKS
2025-09-16 09:46:14,Model 9,encrypted-fhe,PolyModulusDegree,8192.0000
2025-09-16 09:46:14,Model 9,encrypted-fhe,CoeffModBitSizes,"[31, 26, 26, 26, 26, 26, 26, 31]"
2025-09-16 09:46:14,Model 9,encrypted-fhe,GlobalScale(2^26),67108864.0000
2025-09-16 09:46:14,Model 9,encrypted-fhe,AppEncryptionKeySize,212992.0000
2025-09-16 09:49:13,Model 10,Validation,MSE,0.0114
2025-09-16 09:49:13,Model 10,Validation,MAE,0.0790
2025-09-16 09:49:13,Model 10,Validation,MAPE,0.1546
2025-09-16 09:49:13,Model 10,Validation,R2,0.0660
2025-09-16 09:49:13,Model 10,Validation,EVS,0.2688
2025-09-16 09:49:13,Model 10,Test,MSE,0.0089
2025-09-16 09:49:13,Model 10,Test,MAE,0.0757
2025-09-16 09:49:13,Model 10,Test,MAPE,0.1766
2025-09-16 09:49:13,Model 10,Test,R2,0.3200
2025-09-16 09:49:13,Model 10,Test,EVS,0.4642
2025-09-16 09:49:13,Model 10,encrypted-fhe,MSE,0.0089
2025-09-16 09:49:13,Model 10,encrypted-fhe,MAE,0.0749
2025-09-16 09:49:13,Model 10,encrypted-fhe,MAPE,0.1885
2025-09-16 09:49:13,Model 10,encrypted-fhe,R2,-0.2803
2025-09-16 09:49:13,Model 10,encrypted-fhe,EVS,-0.1419
2025-09-16 09:49:13,Model 10,Validation,Time,12.8882
2025-09-16 09:49:13,Model 10,Test,Time,0.0008
2025-09-16 09:49:13,Model 10,encrypted-fhe,Time,54.3455
2025-09-16 09:49:13,Model 10,encrypted-fhe,EncryptionScheme,CKKS
2025-09-16 09:49:13,Model 10,encrypted-fhe,PolyModulusDegree,8192.0000
2025-09-16 09:49:13,Model 10,encrypted-fhe,CoeffModBitSizes,"[31, 26, 26, 26, 26, 26, 26, 31]"
2025-09-16 09:49:13,Model 10,encrypted-fhe,GlobalScale(2^26),67108864.0000
2025-09-16 09:49:13,Model 10,encrypted-fhe,AppEncryptionKeySize,212992.0000
2025-09-16 09:56:07,Model 11,Validation,MSE,0.0133
2025-09-16 09:56:07,Model 11,Validation,MAE,0.0926
2025-09-16 09:56:07,Model 11,Validation,MAPE,0.1943
2025-09-16 09:56:07,Model 11,Validation,R2,-0.3495
2025-09-16 09:56:07,Model 11,Validation,EVS,0.1413
2025-09-16 09:56:07,Model 11,Test,MSE,0.0104
