Timestamp,Model,Process,Metric,Score
2025-09-19 14:44:40,Model 10,Validation,MSE,0.0369
2025-09-19 14:44:40,Model 10,Validation,MAE,0.1256
2025-09-19 14:44:40,Model 10,Validation,MAPE,297593821200384.0000
2025-09-19 14:44:40,Model 10,Validation,R2,-0.5413
2025-09-19 14:44:40,Model 10,Validation,EVS,0.0362
2025-09-19 14:44:40,Model 10,Test,MSE,0.0403
2025-09-19 14:44:40,Model 10,Test,MAE,0.1370
2025-09-19 14:44:40,Model 10,Test,MAPE,1.4028
2025-09-19 14:44:40,Model 10,Test,R2,-456.4512
2025-09-19 14:44:40,Model 10,Test,EVS,-19.3977
2025-09-19 14:44:40,Model 10,encrypted-fhe,MSE,228.6024
2025-09-19 14:44:40,Model 10,encrypted-fhe,MAE,15.1183
2025-09-19 14:44:40,Model 10,encrypted-fhe,MAPE,58270221107016736.0000
2025-09-19 14:44:40,Model 10,encrypted-fhe,R2,-2609.7456
2025-09-19 14:44:40,Model 10,encrypted-fhe,EVS,0.0926
2025-09-19 14:44:40,Model 10,Validation,Time,4.8942
2025-09-19 14:44:40,Model 10,Test,Time,0.0007
2025-09-19 14:44:40,Model 10,encrypted-fhe,Time,4.0078
2025-09-19 14:44:40,Model 10,encrypted-fhe,EncryptionScheme,CKKS
2025-09-19 14:44:40,Model 10,encrypted-fhe,PolyModulusDegree,32768.0000
2025-09-19 14:44:40,Model 10,encrypted-fhe,CoeffModBitSizes,"[60, 40, 40, 40, 40, 40, 40, 60]"
2025-09-19 14:44:40,Model 10,encrypted-fhe,GlobalScale(2^40),1099511627776.0000
2025-09-19 14:44:40,Model 10,encrypted-fhe,AppEncryptionKeySize,1310720.0000
2025-09-19 14:45:55,Model 11,Validation,MSE,0.0366
2025-09-19 14:45:55,Model 11,Validation,MAE,0.1266
2025-09-19 14:45:55,Model 11,Validation,MAPE,305223327285248.0000
2025-09-19 14:45:55,Model 11,Validation,R2,-0.5241
2025-09-19 14:45:55,Model 11,Validation,EVS,0.0398
2025-09-19 14:45:55,Model 11,Test,MSE,0.0399
2025-09-19 14:45:55,Model 11,Test,MAE,0.1382
2025-09-19 14:45:55,Model 11,Test,MAPE,1.3680
2025-09-19 14:45:55,Model 11,Test,R2,-403.3833
2025-09-19 14:45:55,Model 11,Test,EVS,-13.6973
2025-09-19 14:45:55,Model 11,encrypted-fhe,MSE,249.5713
2025-09-19 14:45:55,Model 11,encrypted-fhe,MAE,15.7966
2025-09-19 14:45:55,Model 11,encrypted-fhe,MAPE,60899200222974736.0000
2025-09-19 14:45:55,Model 11,encrypted-fhe,R2,-2837.7517
2025-09-19 14:45:55,Model 11,encrypted-fhe,EVS,0.0847
2025-09-19 14:45:55,Model 11,Validation,Time,7.3240
2025-09-19 14:45:55,Model 11,Test,Time,0.0004
2025-09-19 14:45:55,Model 11,encrypted-fhe,Time,4.0106
2025-09-19 14:45:55,Model 11,encrypted-fhe,EncryptionScheme,CKKS
2025-09-19 14:45:55,Model 11,encrypted-fhe,PolyModulusDegree,32768.0000
2025-09-19 14:45:55,Model 11,encrypted-fhe,CoeffModBitSizes,"[60, 40, 40, 40, 40, 40, 40, 60]"
2025-09-19 14:45:55,Model 11,encrypted-fhe,GlobalScale(2^40),1099511627776.0000
2025-09-19 14:45:55,Model 11,encrypted-fhe,AppEncryptionKeySize,1310720.0000
2025-09-19 14:50:35,Model 12,Validation,MSE,0.0368
2025-09-19 14:50:35,Model 12,Validation,MAE,0.1298
2025-09-19 14:50:35,Model 12,Validation,MAPE,323113141141504.0000
2025-09-19 14:50:35,Model 12,Validation,R2,-0.5094
2025-09-19 14:50:35,Model 12,Validation,EVS,0.0411
2025-09-19 14:50:35,Model 12,Test,MSE,0.0403
2025-09-19 14:50:35,Model 12,Test,MAE,0.1429
2025-09-19 14:50:35,Model 12,Test,MAPE,1.3344
2025-09-19 14:50:35,Model 12,Test,R2,-300.7762
2025-09-19 14:50:35,Model 12,Test,EVS,-10.2290
2025-09-19 14:50:35,Model 12,encrypted-fhe,MSE,273.0024
2025-09-19 14:50:35,Model 12,encrypted-fhe,MAE,16.5216
2025-09-19 14:50:35,Model 12,encrypted-fhe,MAPE,63705390816485640.0000
2025-09-19 14:50:35,Model 12,encrypted-fhe,R2,-3099.4158
2025-09-19 14:50:35,Model 12,encrypted-fhe,EVS,0.0796
2025-09-19 14:50:35,Model 12,Validation,Time,10.2803
2025-09-19 14:50:35,Model 12,Test,Time,0.0006
2025-09-19 14:50:35,Model 12,encrypted-fhe,Time,4.0046
2025-09-19 14:50:35,Model 12,encrypted-fhe,EncryptionScheme,CKKS
2025-09-19 14:50:35,Model 12,encrypted-fhe,PolyModulusDegree,32768.0000
2025-09-19 14:50:35,Model 12,encrypted-fhe,CoeffModBitSizes,"[60, 40, 40, 40, 40, 40, 40, 60]"
2025-09-19 14:50:35,Model 12,encrypted-fhe,GlobalScale(2^40),1099511627776.0000
2025-09-19 14:50:35,Model 12,encrypted-fhe,AppEncryptionKeySize,1310720.0000
2025-09-19 14:52:12,Model 13,Validation,MSE,0.0372
2025-09-19 14:52:12,Model 13,Validation,MAE,0.1228
2025-09-19 14:52:12,Model 13,Validation,MAPE,279576970264576.0000
2025-09-19 14:52:12,Model 13,Validation,R2,-0.5706
2025-09-19 14:52:12,Model 13,Validation,EVS,0.0316
2025-09-19 14:52:12,Model 13,Test,MSE,0.0405
2025-09-19 14:52:12,Model 13,Test,MAE,0.1345
2025-09-19 14:52:12,Model 13,Test,MAPE,1.4921
2025-09-19 14:52:12,Model 13,Test,R2,-707.4207
2025-09-19 14:52:12,Model 13,Test,EVS,-27.2217
2025-09-19 14:52:12,Model 13,encrypted-fhe,MSE,215.8689
2025-09-19 14:52:12,Model 13,encrypted-fhe,MAE,14.6912
2025-09-19 14:52:12,Model 13,encrypted-fhe,MAPE,56614762930521800.0000
2025-09-19 14:52:12,Model 13,encrypted-fhe,R2,-2468.0811
2025-09-19 14:52:12,Model 13,encrypted-fhe,EVS,0.0788
2025-09-19 14:52:12,Model 13,Validation,Time,14.9778
2025-09-19 14:52:12,Model 13,Test,Time,0.0004
2025-09-19 14:52:12,Model 13,encrypted-fhe,Time,4.0150
2025-09-19 14:52:12,Model 13,encrypted-fhe,EncryptionScheme,CKKS
2025-09-19 14:52:12,Model 13,encrypted-fhe,PolyModulusDegree,32768.0000
2025-09-19 14:52:12,Model 13,encrypted-fhe,CoeffModBitSizes,"[60, 40, 40, 40, 40, 40, 40, 60]"
2025-09-19 14:52:12,Model 13,encrypted-fhe,GlobalScale(2^40),1099511627776.0000
2025-09-19 14:52:12,Model 13,encrypted-fhe,AppEncryptionKeySize,1310720.0000
2025-09-19 14:55:36,Model 14,Validation,MSE,0.0367
2025-09-19 14:55:36,Model 14,Validation,MAE,0.1243
2025-09-19 14:55:36,Model 14,Validation,MAPE,291940469833728.0000
2025-09-19 14:55:36,Model 14,Validation,R2,-0.5403
2025-09-19 14:55:36,Model 14,Validation,EVS,0.0362
2025-09-19 14:55:36,Model 14,Test,MSE,0.0395
2025-09-19 14:55:36,Model 14,Test,MAE,0.1339
2025-09-19 14:55:36,Model 14,Test,MAPE,1.3960
2025-09-19 14:55:36,Model 14,Test,R2,-363.0570
2025-09-19 14:55:36,Model 14,Test,EVS,-13.9930
2025-09-19 14:55:36,Model 14,encrypted-fhe,MSE,265.3735
2025-09-19 14:55:36,Model 14,encrypted-fhe,MAE,16.2891
2025-09-19 14:55:36,Model 14,encrypted-fhe,MAPE,62807524123331568.0000
2025-09-19 14:55:36,Model 14,encrypted-fhe,R2,-3013.2493
2025-09-19 14:55:36,Model 14,encrypted-fhe,EVS,0.0706
2025-09-19 14:55:36,Model 14,Validation,Time,21.2513
2025-09-19 14:55:36,Model 14,Test,Time,0.0004
2025-09-19 14:55:36,Model 14,encrypted-fhe,Time,4.0281
2025-09-19 14:55:36,Model 14,encrypted-fhe,EncryptionScheme,CKKS
2025-09-19 14:55:36,Model 14,encrypted-fhe,PolyModulusDegree,32768.0000
